Year,Pass Prop,Fail Prop
1970,0.0,1.0
1971,1.0,0.0
1972,0.6666666666666666,0.3333333333333333
1973,0.8,0.2
1974,0.7142857142857143,0.2857142857142857
1975,1.0,0.0
1976,0.625,0.375
1977,0.7142857142857143,0.2857142857142857
1978,0.75,0.25
1979,0.6,0.4
1980,0.7142857142857143,0.2857142857142857
1981,0.8888888888888888,0.1111111111111111
1982,0.7857142857142857,0.21428571428571427
1983,0.6,0.4
1984,0.8125,0.1875
1985,0.6,0.4
1986,0.6,0.4
1987,0.8571428571428571,0.14285714285714285
1988,0.5263157894736842,0.47368421052631576
1989,0.7142857142857143,0.2857142857142857
1990,0.6,0.4
1991,0.5384615384615384,0.46153846153846156
1992,0.8,0.2
1993,0.5,0.5
1994,0.6538461538461539,0.34615384615384615
1995,0.5,0.5
1996,0.5,0.5
1997,0.45098039215686275,0.5490196078431373
1998,0.6129032258064516,0.3870967741935484
1999,0.5892857142857143,0.4107142857142857
2000,0.5396825396825397,0.4603174603174603
2001,0.484375,0.515625
2002,0.5375,0.4625
2003,0.46875,0.53125
2004,0.4444444444444444,0.5555555555555556
2005,0.46,0.54
2006,0.5222222222222223,0.4777777777777778
2007,0.4383561643835616,0.5616438356164384
2008,0.49504950495049505,0.504950495049505
2009,0.6612903225806451,0.3387096774193548
2010,0.5271317829457365,0.4728682170542636
2011,0.5725806451612904,0.4274193548387097
2012,0.5697674418604651,0.43023255813953487
2013,0.5353535353535354,0.46464646464646464
